name, sales ,date
Sha Middlebrooks," 80,656 ",2/1/2020
Golden Wallen," 549,815 ",2/1/2020
Anastacia Groseclose," 806,201 ",3/1/2020
Faustina Quesenberry," 379,904 ",3/1/2020
Layla Brothers," 1,390,312 ",3/1/2020
Tilda Alarcon," 1,318,453 ",3/1/2020
Lisbeth Almy," 362,718 ",3/1/2020
Thomasina Betances," 739,650 ",3/1/2020
Mica Coburn," 1,201,371 ",3/1/2020
Buford Truss," 542,759 ",3/1/2020
Lakita Hakes," 1,376,183 ",3/1/2020
Serina Ballantyne," 999,611 ",3/1/2020
Lavern Malone," 401,091 ",3/1/2020
Lizzie Haggins," 571,388 ",3/1/2020
Sun Kaplan," 722,080 ",3/1/2020
Glady Sugarman," 951,726 ",3/1/2020
Corine Shepherd," 481,284 ",3/1/2020
Donny Mailhot," 1,205,690 ",3/1/2020
Tressie Morphis," 907,193 ",3/1/2020
Kallie Penrod," 245,572 ",3/1/2020
Sharell Hooten," 565,627 ",3/1/2020
Cori Raub," 652,323 ",3/1/2020
Melda Masten," 1,157,050 ",3/1/2020
Miriam Cadena," 955,618 ",3/1/2020
Alejandrina Mandelbaum," 346,700 ",3/1/2020
Rosario Rizzo," 1,006,465 ",3/1/2020
Latisha Swink," 576,391 ",3/1/2020
Tory Martin," 495,290 ",3/1/2020
Asuncion Herbst," 709,849 ",3/1/2020
Delicia Symes," 157,656 ",3/1/2020
Myrtle Cossey," 209,447 ",3/1/2020
Shella Bassler," 1,195,179 ",3/1/2020
Kacy Warren," 1,001,749 ",3/1/2020
Rick Keffer," 1,026,249 ",3/1/2020
Betsy Meserve," 53,185 ",3/1/2020
Niki Millar," 70,328 ",4/1/2020
Chet Pitts," 71,714 ",4/1/2020
Betsy Meserve," 273,058 ",4/1/2020
Dave Dressler," 1,276,301 ",4/1/2020
Angelic Flury," 426,113 ",4/1/2020
Roxanna Cheyne," 1,341,854 ",4/1/2020
Chastity Brugger," 511,766 ",4/1/2020
Davida Barsky," 96,067 ",4/1/2020
Roxanne Linzey," 1,141,864 ",4/1/2020
Julienne Riesgo," 78,137 ",4/1/2020
Monique Valtierra," 1,060,832 ",4/1/2020
Rodger Steere," 506,902 ",4/1/2020
Monique Valtierra," 814,832 ",4/1/2020
Roxanna Cheyne," 1,336,427 ",4/1/2020
Ariel Maley," 398,301 ",4/1/2020
Nerissa Vanatta," 888,126 ",4/1/2020
Ginger Riordan," 500,472 ",4/1/2020
Natalie Karlin," 978,470 ",4/1/2020
Jaqueline Almquist," 956,772 ",4/1/2020
Lanette Buckingham," 1,175,179 ",4/1/2020
Enda Mascorro," 883,028 ",4/1/2020
Amy Shockley," 1,495,609 ",4/1/2020
Delphine Teague," 223,811 ",4/1/2020
Dorla Harbert," 589,992 ",4/1/2020
Titus Burling," 1,393,094 ",4/1/2020
Tora Theodore," 775,935 ",4/1/2020
Hugo Nardone," 815,000 ",4/1/2020
Alejandrina Mandelbaum," 260,491 ",4/1/2020
Eunice Barriere," 282,396 ",4/1/2020
Brianna Navas," 873,266 ",4/1/2020
Tanja Inks," 10,688 ",4/1/2020
Ivonne Yeoman," 849,628 ",4/1/2020
Delisa Gurganus," 1,485,407 ",4/1/2020
Asuncion Herbst," 980,362 ",4/1/2020
Flor Fairchild," 1,019,372 ",4/1/2020
Enda Mascorro," 1,278,322 ",4/1/2020
Ardis Wille," 1,350,475 ",4/1/2020
Eladia Karg," 1,052,508 ",5/1/2020
Darlena Vang," 225,646 ",5/1/2020
Victor Roselli," 349,343 ",5/1/2020
Frankie Argento," 322,795 ",5/1/2020
Elissa Sitsler," 358,984 ",5/1/2020
Denisha Ogden," 185,527 ",5/1/2020
Olene Reitz," 240,408 ",5/1/2020
Angelic Flury," 1,124,766 ",5/1/2020
Katherine Lafontant," 80,459 ",5/1/2020
Collin Millsap," 892,532 ",5/1/2020
Hosea Cybart," 805,074 ",5/1/2020
Stormy Edberg," 332,636 ",5/1/2020
Lakita Hakes," 1,226,092 ",5/1/2020
Melody Bouffard," 459,766 ",5/1/2020
Ernesto Cullison," 1,154,846 ",5/1/2020
Nguyet Vaz," 761,977 ",5/1/2020
Marica Chavous," 565,742 ",5/1/2020
Toni Mullen," 309,741 ",5/1/2020
Samantha Atilano," 795,287 ",5/1/2020
Leonore Degreenia," 1,473,432 ",5/1/2020
Michell Corrigan," 870,132 ",5/1/2020
Darnell Rich," 860,703 ",5/1/2020
Larraine Gobeil," 1,427,269 ",5/1/2020
Valentine Switzer," 185,954 ",5/1/2020
Dustin Coyne," 1,104,125 ",5/1/2020
Danette Dolce," 1,236,587 ",5/1/2020
Janise Tercero," 386,748 ",5/1/2020
Lorilee Crosland," 1,420,503 ",5/1/2020
Sarita Cripe," 507,741 ",5/1/2020
Odessa Meaney," 142,113 ",5/1/2020
Celestina Dartez," 978,296 ",5/1/2020
Lorie Blount," 601,948 ",5/1/2020
Lillian Mumford," 1,330,541 ",5/1/2020
Leanne Rowles," 1,022,937 ",5/1/2020
Titus Burling," 708,006 ",6/1/2020
Shawnna Whitley," 375,707 ",6/1/2020
Melody Bouffard," 1,475,441 ",6/1/2020
Hugo Nardone," 1,019,850 ",6/1/2020
Lawana Styers," 1,401,289 ",6/1/2020
Ayako Frick," 1,041,200 ",6/1/2020
Sarai Yoo," 1,450,441 ",6/1/2020
Noemi Mcabee," 997,384 ",6/1/2020
Latisha Swink," 1,303,490 ",6/1/2020
Collin Millsap," 785,384 ",6/1/2020
Shayla Jacobi," 225,362 ",6/1/2020
Julio Zemlicka," 707,914 ",6/1/2020
Vera Mckamie," 362,666 ",6/1/2020
Phil Quintero," 100,361 ",6/1/2020
Madalyn Unsworth," 1,205,928 ",6/1/2020
Serita Pederson," 1,464,471 ",6/1/2020
Elliot Mccaffery," 414,386 ",6/1/2020
Naida Ostby," 1,497,608 ",6/1/2020
Pearly Arreguin," 367,740 ",6/1/2020
Joelle Feldman," 945,765 ",6/1/2020
Lilia Despres," 327,634 ",6/1/2020
Angelic Flury," 691,739 ",6/1/2020
Leeanna Link," 221,195 ",6/1/2020
Adrianna Sweetland," 620,119 ",6/1/2020
Wilber Simmer," 1,277,106 ",6/1/2020
Eugena Trojanowski," 1,430,944 ",6/1/2020
Elissa Sitsler," 1,124,467 ",6/1/2020
Millicent Beamon," 1,038,584 ",6/1/2020
Izola Adams," 351,679 ",6/1/2020
Ivonne Yeoman," 261,246 ",6/1/2020
Toni Mullen," 1,282,122 ",7/1/2020
Brendan Acton," 388,006 ",7/1/2020
Leticia Michelsen," 615,020 ",7/1/2020
Virgie Gibb," 148,841 ",7/1/2020
Antony Fett," 1,429,899 ",7/1/2020
Shawnna Whitley," 1,487,473 ",7/1/2020
Rochelle Patnode," 1,109,574 ",7/1/2020
Corine Shepherd," 1,363,740 ",7/1/2020
Rosette Custer," 1,077,106 ",7/1/2020
Hilaria Ashmore," 68,566 ",7/1/2020
Mariette Huson," 1,255,006 ",7/1/2020
Allyson Ancheta," 322,086 ",7/1/2020
Tabetha Cressey," 146,125 ",7/1/2020
Marianela Henline," 959,515 ",7/1/2020
Shayla Jacobi," 150,318 ",7/1/2020
Ria Lightbody," 340,026 ",7/1/2020
Stephani Eisenmann," 737,249 ",7/1/2020
Amy Shockley," 868,596 ",7/1/2020
Dorla Harbert," 282,738 ",7/1/2020
Elijah Reuss," 978,352 ",7/1/2020
Cleveland Tung," 198,792 ",7/1/2020
Lauren Stephenson," 748,236 ",7/1/2020
Belva Antos," 1,081,646 ",7/1/2020
Kacy Warren," 1,034,106 ",7/1/2020
Martha Stiverson," 606,158 ",7/1/2020
Krishna Shimp," 1,237,076 ",7/1/2020
Madie Nevels," 69,227 ",7/1/2020
Ima Gaudreau," 142,213 ",7/1/2020
Elliot Mccaffery," 41,234 ",7/1/2020
Frederica Powe," 1,182,918 ",7/1/2020
Toni Mullen," 1,297,891 ",8/1/2020
Serina Ballantyne," 1,132,940 ",8/1/2020
Sydney Baskerville," 1,349,167 ",8/1/2020
Carmine Hamburg," 371,103 ",8/1/2020
Emiko Fredricks," 1,201,547 ",8/1/2020
Harland Greenspan," 964,894 ",8/1/2020
Angela Strawbridge," 920,173 ",8/1/2020
Leanne Rowles," 194,507 ",8/1/2020
Elroy Eddings," 177,949 ",8/1/2020
Emiko Fredricks," 1,360,910 ",8/1/2020
Roxie Broady," 1,334,483 ",8/1/2020
Illa Jaffee," 1,306,891 ",8/1/2020
Pinkie Bufford," 616,367 ",8/1/2020
Isiah Delaughter," 681,774 ",8/1/2020
Marilyn Eiler," 287,442 ",8/1/2020
Tanja Inks," 372,352 ",8/1/2020
Anderson Mcray," 398,049 ",8/1/2020
Wendell Ginsburg," 372,691 ",8/1/2020
Ruthie Poe," 819,187 ",8/1/2020
Harland Greenspan," 486,143 ",8/1/2020
Sha Middlebrooks," 725,493 ",8/1/2020
Lissette Heidelberg," 365,044 ",8/1/2020
Giuseppe Deville," 1,270,367 ",8/1/2020
Sherrell Blann," 255,086 ",8/1/2020
Zachary Novello," 1,403,691 ",8/1/2020
Melody Bouffard," 1,426,381 ",8/1/2020
Del Najar," 934,686 ",8/1/2020
Betsy Meserve," 327,666 ",8/1/2020
Patti Boeke," 257,238 ",8/1/2020
Sharee Penfield," 265,426 ",8/1/2020
Buster Keppler," 720,623 ",8/1/2020
Belva Antos," 890,149 ",8/1/2020
Tomika Hedberg," 263,458 ",8/1/2020
Calandra Brickner," 1,478,354 ",8/1/2020
Jeanmarie Drown," 99,385 ",8/1/2020
Woodrow Colin," 366,880 ",8/1/2020
Vina Gascon," 1,320,978 ",8/1/2020
Victor Roselli," 39,649 ",8/1/2020
Chrystal Cephas," 1,438,769 ",8/1/2020
Susanna Brandes," 1,348,568 ",8/1/2020
Paige Bain," 1,075,698 ",8/1/2020
Romelia Armbruster," 77,436 ",8/1/2020
Lavette Duggan," 740,248 ",8/1/2020
Cherri Hayden," 271,878 ",8/1/2020
Ozie Simerly," 752,581 ",9/1/2020
Bennie Frei," 1,051,363 ",9/1/2020
Luigi Bevins," 1,158,632 ",9/1/2020
Fabian Gamez," 1,077,102 ",9/1/2020
Ruthie Poe," 539,732 ",9/1/2020
Dorcas Oakley," 132,309 ",9/1/2020
Melda Masten," 582,552 ",9/1/2020
Charisse Orman," 993,662 ",9/1/2020
Calandra Brickner," 1,084,694 ",9/1/2020
Alan Tee," 1,128,801 ",9/1/2020
Judie Pocock," 1,463,872 ",9/1/2020
Pearly Arreguin," 144,985 ",9/1/2020
Bennie Krom," 198,875 ",9/1/2020
Georgine Aigner," 1,334,296 ",9/1/2020
Charisse Orman," 651,649 ",9/1/2020
Jude Bourland," 749,527 ",9/1/2020
Crissy Windsor," 652,582 ",9/1/2020
Miles Rogowski," 1,109,263 ",9/1/2020
Josefina Schranz," 1,286,270 ",9/1/2020
Shella Bassler," 1,383,496 ",9/1/2020
Ahmad Karlin," 838,921 ",9/1/2020
Jung Irion," 1,292,227 ",9/1/2020
Delisa Gurganus," 862,557 ",9/1/2020
Rossana Hellums," 327,012 ",9/1/2020
Lissette Heidelberg," 513,849 ",9/1/2020
Stephani Eisenmann," 469,301 ",9/1/2020
Gregorio Carwile," 1,400,316 ",9/1/2020
Flor Fairchild," 1,442,184 ",10/1/2020
Darnell Rich," 373,829 ",10/1/2020
Phyliss Foxwell," 441,224 ",10/1/2020
Valentine Switzer," 53,301 ",10/1/2020
Miyoko Pilot," 384,181 ",10/1/2020
Dewitt Kennerson," 705,557 ",10/1/2020
Lyman Ravenscroft," 1,153,588 ",10/1/2020
Elza Tews," 1,039,489 ",10/1/2020
Nickie Shott," 425,184 ",10/1/2020
Paige Bain," 210,433 ",10/1/2020
Allyson Ancheta," 1,316,137 ",10/1/2020
Frederica Powe," 175,923 ",10/1/2020
Lulu Mannino," 1,252,381 ",10/1/2020
Earnest Carson," 936,589 ",10/1/2020
Teresita Prouty," 731,350 ",10/1/2020
Shanice Carrera," 749,599 ",10/1/2020
Phyliss Foxwell," 961,913 ",10/1/2020
Noemi Mcabee," 1,106,517 ",10/1/2020
Sharee Penfield," 1,466,574 ",10/1/2020
Samatha Lair," 90,879 ",10/1/2020
Zenaida Israel," 796,501 ",10/1/2020
Stormy Edberg," 48,723 ",10/1/2020
Odessa Franz," 1,349,772 ",10/1/2020
Oren Blye," 1,032,911 ",10/1/2020
Pok Hesson," 971,246 ",10/1/2020
Keitha Singleterry," 1,016,172 ",11/1/2020
Jaqueline Almquist," 16,580 ",11/1/2020
Vina Gascon," 171,420 ",11/1/2020
Buford Truss," 727,028 ",11/1/2020
Karlene Tuff," 470,937 ",11/1/2020
Luise Current," 97,847 ",11/1/2020
Tyron Brackett," 99,645 ",11/1/2020
Oren Blye," 207,117 ",11/1/2020
Kit Nogle," 1,291,373 ",11/1/2020
Sue Raffa," 1,221,201 ",11/1/2020
Cassey Brewster," 482,335 ",11/1/2020
Rima Glaspie," 803,712 ",11/1/2020
Angelic Flury," 1,197,157 ",11/1/2020
Janette Werth," 762,088 ",11/1/2020
Curt Lant," 724,670 ",11/1/2020
Jung Alva," 335,933 ",11/1/2020
Danyel Ervin," 377,124 ",11/1/2020
Shanta Ramerez," 1,321,428 ",11/1/2020
Belen Ruggiero," 1,194,369 ",11/1/2020
Zoraida Gertner," 320,318 ",11/1/2020
Loida Tartaglia," 1,237,664 ",12/1/2020
Yuri Beltran," 682,536 ",12/1/2020
Frederica Powe," 132,348 ",12/1/2020
Maragaret Tomlinson," 841,044 ",12/1/2020
Margene Collin," 1,111,231 ",12/1/2020
Basilia Janco," 140,962 ",12/1/2020
Renate Ruddick," 987,900 ",12/1/2020
Georgine Aigner," 335,454 ",12/1/2020
Rubi Perro," 1,372,315 ",12/1/2020
Divina Nix," 643,553 ",12/1/2020
Karlene Tuff," 514,042 ",12/1/2020
Joey Doris," 1,446,507 ",12/1/2020
Meg Isabell," 1,291,123 ",12/1/2020
Leanna Custis," 899,068 ",12/1/2020
Lilia Despres," 58,717 ",12/1/2020
Sharika Schuler," 1,023,577 ",12/1/2020
Dominque Carney," 511,275 ",12/1/2020
Mindy Hehn," 815,713 ",12/1/2020
Faustina Quesenberry," 897,408 ",12/1/2020
Lulu Mannino," 851,128 ",12/1/2020
Treena Barna," 46,461 ",12/1/2020
Parker Gebhart," 555,551 ",12/1/2020
Shella Bassler," 513,932 ",12/1/2020
Sarai Yoo," 571,504 ",12/1/2020
Patty Minardi," 139,485 ",12/1/2020
Vina Gascon," 795,194 ",12/1/2020
Rima Glaspie," 100,136 ",12/1/2020
Rocky Larocque," 1,039,029 ",12/1/2020
Paige Bain," 448,197 ",12/1/2020
Kiersten Mannion," 1,487,909 ",12/1/2020
Roxanna Cheyne," 861,954 ",13/1/2020
Pinkie Bufford," 1,055,245 ",13/1/2020
Phil Quintero," 175,051 ",13/1/2020
Kami Storms," 367,081 ",13/1/2020
Calandra Brickner," 1,201,572 ",13/1/2020
Bobbye Mccraney," 257,083 ",13/1/2020
Evelyn Bonneau," 59,699 ",13/1/2020
Dudley Naab," 1,421,825 ",13/1/2020
Isiah Delaughter," 717,894 ",13/1/2020
Dell Luckett," 506,366 ",13/1/2020
Luigi Bevins," 928,534 ",13/1/2020
Margarita Corcoran," 207,081 ",13/1/2020
Zandra Feather," 1,036,024 ",13/1/2020
Ivana Murnane," 1,023,500 ",13/1/2020
Lawana Styers," 803,893 ",13/1/2020
Elissa Sitsler," 856,161 ",13/1/2020
Marhta Wynne," 867,025 ",13/1/2020
Lisa Klingbeil," 1,318,399 ",13/1/2020
Aaron Killingsworth," 985,981 ",13/1/2020
Thaddeus Kroeger," 1,230,676 ",13/1/2020
Benedict Blumberg," 933,783 ",13/1/2020
Anastacia Groseclose," 840,000 ",13/1/2020
Dagmar Devens," 1,323,512 ",13/1/2020
Mariette Huson," 96,951 ",13/1/2020
Lauren Stephenson," 93,974 ",13/1/2020
Sherrell Blann," 1,034,579 ",14/1/2020
Bonita Gunnerson," 800,032 ",14/1/2020
Geri Guan," 776,129 ",14/1/2020
Octavia Gitlin," 62,987 ",14/1/2020
Corinne Wingerter," 972,627 ",14/1/2020
Crissy Windsor," 50,996 ",14/1/2020
Bonita Gunnerson," 1,341,753 ",14/1/2020
Roxanne Linzey," 408,314 ",14/1/2020
Chastity Brugger," 575,831 ",14/1/2020
Dudley Naab," 459,007 ",14/1/2020
Tressie Morphis," 56,838 ",14/1/2020
Mabelle Lafleur," 300,085 ",14/1/2020
Erin Mcmurtrie," 671,883 ",14/1/2020
Elvie Plumber," 1,031,493 ",14/1/2020
Elbert Setliff," 1,089,423 ",14/1/2020
Dustin Coyne," 1,042,406 ",14/1/2020
Tamara Marcinek," 193,282 ",14/1/2020
Dorla Harbert," 511,862 ",14/1/2020
Elvie Plumber," 412,527 ",14/1/2020
Birdie Fleischman," 1,117,248 ",14/1/2020
Zora Lodge," 192,796 ",14/1/2020
Olene Reitz," 11,344 ",14/1/2020
Keesha Salamone," 1,024,325 ",14/1/2020
Julienne Riesgo," 308,876 ",14/1/2020
Berry Right," 484,639 ",14/1/2020
Lillian Mumford," 1,222,303 ",14/1/2020
Emerita Thibodeaux," 1,377,085 ",15/1/2020
Alene Swiger," 647,799 ",15/1/2020
Parker Gebhart," 215,121 ",15/1/2020
Jaqueline Almquist," 623,733 ",15/1/2020
Leeanna Link," 63,035 ",15/1/2020
Benedict Blumberg," 280,320 ",15/1/2020
Grace Febus," 550,464 ",15/1/2020
Woodrow Colin," 112,174 ",15/1/2020
Misti Shockey," 1,135,116 ",15/1/2020
Dorian Fenstermacher," 344,893 ",15/1/2020
Madalyn Unsworth," 999,733 ",15/1/2020
Thomasina Betances," 1,226,797 ",15/1/2020
Chastity Brugger," 556,225 ",15/1/2020
Loida Tartaglia," 869,224 ",15/1/2020
Celestina Dartez," 361,064 ",15/1/2020
Kami Storms," 740,255 ",15/1/2020
Izola Adams," 479,196 ",15/1/2020
Charisse Orman," 11,357 ",15/1/2020
Zola Gaus," 192,629 ",15/1/2020
Estella Reinert," 812,298 ",15/1/2020
Wilber Simmer," 1,092,192 ",15/1/2020
Benedict Blumberg," 507,075 ",15/1/2020
Anamaria Loos," 647,860 ",15/1/2020
Sherrell Blann," 846,843 ",15/1/2020
Christen Mcchesney," 51,304 ",16/1/2020
Dortha Kuntz," 1,208,485 ",16/1/2020
Deangelo Ricci," 762,894 ",16/1/2020
Marhta Wynne," 773,136 ",16/1/2020
Ervin Scalia," 796,306 ",16/1/2020
Tomeka Matsuda," 835,778 ",16/1/2020
Chastity Immel," 647,664 ",16/1/2020
Lakeesha Ruis," 465,033 ",16/1/2020
Dewey Zalewski," 805,020 ",16/1/2020
Jacob Pitcock," 833,622 ",16/1/2020
Corinne Wingerter," 329,652 ",16/1/2020
Esmeralda Freeborn," 661,422 ",16/1/2020
Dortha Kearns," 427,349 ",16/1/2020
Wendell Ginsburg," 1,282,521 ",16/1/2020
Dorian Fenstermacher," 1,488,682 ",16/1/2020
Moshe Filice," 224,015 ",16/1/2020
Melda Masten," 998,249 ",16/1/2020
Madie Nevels," 242,355 ",16/1/2020
Bebe Gama," 63,361 ",16/1/2020
Krystal Molinari," 168,050 ",16/1/2020
Wynona Palmieri," 251,929 ",16/1/2020
Moshe Filice," 1,312,302 ",16/1/2020
Leland Kubota," 1,472,291 ",16/1/2020
Tam Pollman," 436,555 ",16/1/2020
Larraine Gobeil," 357,413 ",16/1/2020
Gerri Charon," 247,630 ",16/1/2020
Paulina Kaufmann," 363,537 ",16/1/2020
Muoi Schendel," 407,245 ",16/1/2020
Criselda Dublin," 311,238 ",16/1/2020
Dagmar Devens," 1,267,641 ",16/1/2020
Chrystal Cephas," 462,694 ",16/1/2020
Bennie Frei," 627,067 ",16/1/2020
Neda Parise," 668,024 ",16/1/2020
Noemi Mcabee," 72,456 ",16/1/2020
Ashton Lacombe," 234,410 ",17/1/2020
Romelia Armbruster," 1,247,849 ",17/1/2020
Rossana Hellums," 455,944 ",17/1/2020
Del Najar," 667,858 ",17/1/2020
Dorene Tarry," 1,114,654 ",17/1/2020
Davida Barsky," 1,212,567 ",17/1/2020
Crista Gump," 1,234,075 ",17/1/2020
Hyacinth Guiney," 1,004,980 ",17/1/2020
Crissy Windsor," 571,946 ",17/1/2020
Oren Blye," 741,848 ",17/1/2020
Lavette Duggan," 1,405,231 ",17/1/2020
Yasmine Costello," 628,667 ",17/1/2020
Dagmar Devens," 1,091,708 ",17/1/2020
Toni Mullen," 1,269,535 ",17/1/2020
Alvin Riggie," 343,548 ",17/1/2020
Bambi Wynne," 934,807 ",17/1/2020
Stanley Margolin," 176,102 ",17/1/2020
Mariette Huson," 1,062,239 ",17/1/2020
Georgine Aigner," 1,199,720 ",17/1/2020
Odessa Franz," 1,225,467 ",17/1/2020
Shanta Ramerez," 200,544 ",17/1/2020
Shae Buggs," 1,258,970 ",17/1/2020
Elvie Plumber," 1,224,526 ",17/1/2020
Julio Zemlicka," 1,486,054 ",17/1/2020
Leonore Degreenia," 115,772 ",17/1/2020
Toni Mullen," 663,819 ",17/1/2020
Una Loll," 59,284 ",18/1/2020
Noemi Mcabee," 1,161,848 ",18/1/2020
Ileen Rezentes," 124,441 ",18/1/2020
Virgie Gibb," 1,218,867 ",18/1/2020
Layla Brothers," 339,099 ",18/1/2020
Latisha Swink," 284,287 ",18/1/2020
Olene Reitz," 508,588 ",18/1/2020
Zachary Novello," 686,022 ",18/1/2020
Delicia Symes," 403,067 ",18/1/2020
Erin Mcmurtrie," 689,220 ",18/1/2020
Dell Luckett," 764,027 ",18/1/2020
Williams Leno," 1,149,107 ",18/1/2020
Rick Keffer," 1,057,480 ",18/1/2020
Ria Lightbody," 1,290,910 ",18/1/2020
Hildegarde Rench," 798,294 ",18/1/2020
Collin Millsap," 702,678 ",18/1/2020
Linnea Molton," 147,975 ",18/1/2020
Winnifred Strebel," 53,595 ",18/1/2020
Lorilee Crosland," 135,687 ",18/1/2020
Dori Gamble," 765,975 ",18/1/2020
Loan Puryear," 777,152 ",18/1/2020
Nestor Lundell," 477,629 ",18/1/2020
Amy Shockley," 307,658 ",18/1/2020
Giuseppe Deville," 1,105,991 ",18/1/2020
Pearly Arreguin," 1,326,875 ",18/1/2020
Birdie Fleischman," 370,855 ",19/1/2020
Leland Kubota," 791,266 ",19/1/2020
Eunice Barriere," 1,375,732 ",19/1/2020
Nguyet Vaz," 470,089 ",19/1/2020
Neal Oland," 251,091 ",19/1/2020
Shella Bassler," 620,242 ",19/1/2020
Grover Ritchey," 749,505 ",19/1/2020
Layla Brothers," 1,136,908 ",19/1/2020
Tomeka Matsuda," 1,295,940 ",19/1/2020
Patty Minardi," 1,346,796 ",19/1/2020
Palma Strasser," 180,293 ",19/1/2020
Wilber Simmer," 726,257 ",19/1/2020
Aundrea Bakker," 1,214,807 ",19/1/2020
Lashawna Granata," 679,155 ",19/1/2020
Rima Glaspie," 224,879 ",19/1/2020
Tory Martin," 1,419,747 ",19/1/2020
Morgan Caylor," 847,147 ",19/1/2020
Nestor Lundell," 11,844 ",19/1/2020
Dollie Seymour," 340,353 ",19/1/2020
Hester Mazzariello," 1,125,133 ",19/1/2020
Paulina Kaufmann," 950,539 ",19/1/2020
Neda Parise," 1,460,022 ",19/1/2020
Tabetha Cressey," 980,303 ",19/1/2020
Treena Barna," 1,450,497 ",19/1/2020
Emelia Anders," 1,480,144 ",19/1/2020
Felicitas Pine," 144,286 ",19/1/2020
Alexa Seitz," 999,415 ",19/1/2020
Susannah Watkin," 394,565 ",19/1/2020
Berry Right," 1,370,005 ",19/1/2020
Isiah Delaughter," 988,381 ",19/1/2020
Delphine Teague," 345,180 ",20/1/2020
Jerlene Wasson," 95,719 ",20/1/2020
Del Najar," 209,288 ",20/1/2020
Marhta Wynne," 747,884 ",20/1/2020
Ruthie Poe," 1,033,762 ",20/1/2020
Hyacinth Guiney," 1,472,480 ",20/1/2020
Renate Ruddick," 983,587 ",20/1/2020
Veronica Hertzler," 1,180,907 ",20/1/2020
Linnea Molton," 1,098,863 ",20/1/2020
Sydney Baskerville," 255,314 ",20/1/2020
Margene Walden," 483,529 ",20/1/2020
Geoffrey Jorstad," 714,460 ",20/1/2020
Wendolyn Fessenden," 553,688 ",20/1/2020
Morgan Caylor," 1,452,402 ",20/1/2020
Madie Nevels," 442,087 ",20/1/2020
Darnell Rich," 1,077,428 ",20/1/2020
Lyman Mcgarry," 1,110,109 ",20/1/2020
Alda Marciniak," 1,296,766 ",20/1/2020
Nickie Shott," 285,477 ",20/1/2020
Ardath Albro," 464,956 ",20/1/2020
Dagmar Devens," 1,093,239 ",20/1/2020
Farah Munsterman," 499,491 ",20/1/2020
Geoffrey Jorstad," 1,330,763 ",20/1/2020
Julienne Riesgo," 982,701 ",21/1/2020
Margene Walden," 739,883 ",21/1/2020
Ima Gaudreau," 405,340 ",21/1/2020
Herta Weidner," 30,426 ",21/1/2020
Charisse Orman," 1,468,274 ",21/1/2020
Criselda Dublin," 1,317,753 ",21/1/2020
Alexa Seitz," 1,216,284 ",21/1/2020
Vallie Bakke," 1,015,844 ",21/1/2020
Shawnna Whitley," 748,930 ",21/1/2020
Tilda Alarcon," 603,197 ",21/1/2020
